User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: CJBHCQY1,Date: 13/10/2023,Time: 15:06:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: TWFluorescence HCQY001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),580,190,886,539,471,211,144,117,2061,1661,1297,1332,349,103,810,641,344,232,132,97,2266,1904,1291,524,102,84,887,527,455,281,406,97,2255,1456,1130,554,316,139,838,566,424,256,148,120,2264,1911,1030,658,512,73,504,418,296,247,223,136,896,745,385,201,157,108,542,335,239,160,133,75,875,648,605,214,150,401,546,537,344,338,298,81,820,2436,404,251,142,204,620,434,275,189,129,79,883,893,901,741,181
Raw Data (Em Spectrum),581,186,919,605,441,234,138,106,2155,1653,1217,1257,355,118,816,620,381,292,131,101,2264,1965,1248,506,106,82,923,591,405,271,385,92,2238,1480,1099,506,325,128,884,620,390,269,168,109,2241,1929,987,660,494,97,633,473,320,249,228,141,907,828,437,248,159,104,576,385,278,172,156,95,970,691,642,248,156,326,599,597,397,343,304,113,942,2315,437,305,177,201,621,562,296,198,141,82,945,1011,857,775,187
Raw Data (Em Spectrum),582,165,869,628,473,203,165,111,2266,1666,1252,1355,376,125,887,617,351,295,162,86,2367,1956,1226,550,101,95,874,586,423,296,388,102,2347,1573,1130,620,313,124,831,640,440,286,154,110,2245,2118,1052,741,533,82,741,495,350,333,221,124,980,880,476,249,170,107,690,434,312,202,133,78,1071,715,753,260,176,376,677,602,425,394,293,99,1023,2517,492,324,171,238,738,596,368,231,154,84,1029,1074,880,796,206
Raw Data (Em Spectrum),583,196,956,653,475,239,137,107,2328,1734,1354,1317,355,119,994,662,391,295,165,99,2535,2135,1246,624,91,99,1010,604,446,283,414,93,2564,1680,1138,519,386,119,971,667,455,255,159,125,2416,2154,1027,716,516,76,861,608,391,267,245,125,1124,985,516,306,171,110,815,497,381,196,154,99,1178,803,729,256,173,380,810,747,503,381,318,96,1164,2543,520,389,178,232,814,655,389,224,144,90,1145,1190,937,900,205
Raw Data (Em Spectrum),584,180,1018,702,507,281,172,119,2384,1773,1343,1361,356,109,938,726,406,315,151,89,2637,2115,1403,593,98,119,973,656,520,326,398,86,2481,1758,1240,581,368,136,1055,784,411,284,184,111,2488,2170,1216,743,554,81,957,679,493,353,240,131,1353,1122,598,348,205,91,990,523,404,222,167,108,1338,941,865,317,189,353,962,851,598,420,329,87,1344,2632,570,414,208,219,998,749,437,286,165,86,1216,1289,974,860,234
Raw Data (Em Spectrum),585,186,1049,715,537,237,194,123,2530,1857,1298,1374,376,104,1019,766,445,306,182,107,2685,2265,1413,589,101,107,1135,685,546,311,357,99,2704,1876,1285,671,398,131,1055,749,505,327,172,123,2629,2277,1156,742,520,98,1123,794,520,370,234,126,1524,1173,630,328,212,95,1023,657,463,245,188,96,1557,1015,1074,321,205,401,1058,993,589,471,368,107,1535,2748,613,447,237,215,1047,839,480,287,185,95,1464,1437,1116,911,264
Raw Data (Em Spectrum),586,173,1133,753,567,284,189,115,2723,2005,1502,1299,407,110,1112,799,484,356,179,102,2841,2395,1489,687,118,121,1178,785,555,361,414,102,2875,1977,1363,663,439,150,1143,837,505,289,160,125,2843,2376,1302,828,594,94,1211,914,566,398,268,128,1700,1382,713,400,244,110,1195,692,550,332,177,102,1742,1131,1155,366,233,422,1267,1063,718,465,393,97,1683,2773,733,484,233,240,1237,935,556,334,235,110,1660,1548,1203,1047,280
Raw Data (Em Spectrum),587,184,1179,786,624,314,196,123,2972,2093,1517,1342,429,123,1096,891,521,380,233,94,3032,2520,1520,687,129,95,1270,744,605,359,432,107,3019,2119,1441,692,446,134,1208,833,550,325,199,108,3044,2633,1420,865,587,99,1396,995,653,430,323,125,1858,1596,823,450,264,108,1392,812,632,369,238,92,1886,1347,1213,430,252,411,1381,1127,802,506,404,115,1900,2900,813,527,293,230,1473,1074,626,393,238,87,1853,1714,1308,1113,322
