Well,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740
A1,190,186,165,196,180,186,173,184,214,212,258,228,212,246,267,259,297,266,310,354,335,393,369,328,345,364,383,347,348,312,347,355,315,304,313,287,285,300,286,235,258,266,250,247,282,240,259,279,273,270,326,314,350,372,367,510,453,558,684,735,865,1010,1062,1183,1324,1365,1542,1637,1770,1638,1757,1928,1833,1757,1777,1764,1704,1599,1593,1578,1530,1343,1356,1282,1225,1277,1138,1108,1165,1068,922,958,813,840,879,929,896,862,802,772,754,834,758,853,731,919,938,926,929,881,828,974,1031,931,928,1113,1003,1136,1013,1204,1235,1453,1224,1275,1329,1904,1478,1680,1609,1869,1804,1929,1750,2019,2113,1914,2372,2530,2421,2301,2299,2553,2944,2947,3020,2988,3531,2728,3707,3411,3390,3469,3842,4511,4273,4611,4555,5042,4852,5252,5364
A2,886,919,869,956,1018,1049,1133,1179,1315,1308,1411,1431,1561,1648,1725,1846,1815,1983,2034,2084,2114,2265,2299,2296,2415,2563,2418,2561,2582,2675,2780,2652,2632,2687,2910,2872,2924,3017,3262,3501,3773,4049,4645,5192,6044,7049,8470,9932,12185,15122,18834,23088,29059,36180,45216,55910,67273,82659,100577,120696,142662,167386,194853,219139,244443,270711,293737,315084,334855,349231,360028,365551,369642,367411,361989,352297,341929,324635,310571,292248,279195,260948,246680,229373,215234,200482,180491,169887,156228,141624,132506,123744,112573,105844,97501,92158,84678,79690,75872,72641,70247,66329,63926,61062,61276,60162,57286,59648,58382,57659,58491,58071,60944,58931,61414,65029,63700,68510,69928,72035,74641,75989,82217,85678,87074,89214,94259,95620,101303,101997,107235,111223,111710,113796,115021,119324,115643,115321,119439,115347,112265,112377,107448,106036,99132,92291,91558,78855,76833,74164,67177,62014,56306,50659,48350,44444,43411,37957,37932,35995,30608
A3,539,605,628,653,702,715,753,786,823,910,982,926,1119,1131,1137,1193,1246,1356,1334,1432,1432,1530,1472,1538,1615,1674,1654,1575,1684,1732,1885,1751,1847,1748,1895,1991,2102,2083,2068,2206,2442,2687,2990,3328,3913,4697,5500,6607,7985,9812,11927,14772,18331,22668,28158,34292,41714,51346,62762,75266,89932,104163,121485,137464,151994,168014,182548,196722,208363,216362,221460,229620,229426,228125,225831,219289,212324,201778,192747,180423,172900,163743,154039,140272,132590,124843,112052,104157,96537,89800,83179,75268,69830,64637,59950,56704,52540,49333,47382,45367,41973,41061,39032,38732,37909,38668,37379,36721,34824,35612,34936,36563,37491,38759,38564,37908,40172,39566,44688,44846,48079,51610,50162,52107,53969,56420,59873,60725,61930,64997,69553,66264,69748,72040,74151,73488,75743,73141,75168,75263,69543,69858,68197,67055,64590,59428,57591,50604,50048,45999,44682,40362,37537,37705,30158,27538,25323,24091,25141,22091,24297
A4,471,441,473,475,507,537,567,624,598,684,686,756,757,792,805,884,989,1029,1042,1027,1034,1101,1082,1196,1154,1176,1256,1278,1283,1320,1224,1287,1357,1366,1325,1375,1436,1498,1560,1642,1702,1904,1945,2359,2668,3157,3829,4190,5256,6401,7718,9700,12318,15302,19121,23489,28629,34948,42307,49686,60012,70165,80604,92283,102099,114410,123944,131893,140002,145312,150360,153865,154039,154632,151868,147159,141478,136498,129378,121805,116202,109098,102925,96520,89496,83523,76038,70321,64967,59397,55447,51286,47046,44081,41689,37466,35744,34035,31968,30198,29428,27492,27572,26214,24729,24864,24173,24779,24797,24486,23326,24927,25650,24690,25923,27484,27739,28387,28159,30650,31238,34306,33451,35114,36968,37215,41673,41475,42700,44590,46221,46637,46294,48225,47785,49815,52182,49769,49632,50438,48150,47221,45839,43844,44299,43521,39011,35907,35033,34597,30404,25331,26342,25214,24785,23055,20901,19469,19554,17766,15462
A5,211,234,203,239,281,237,284,314,324,315,368,416,437,436,427,479,504,506,531,572,623,643,597,645,593,645,643,685,705,681,681,737,760,765,707,763,736,754,759,759,792,849,1005,1194,1326,1426,1703,2256,2523,3166,3848,4724,5908,7167,9072,11087,13556,16631,20081,23645,28121,32854,38380,44083,48429,53047,58342,62923,66377,69615,70635,71543,72784,72966,72322,68887,66281,63534,61395,58047,54246,51283,48055,45328,42799,39226,35984,33278,30671,28360,26465,24171,22914,20604,19358,18258,16596,15822,14872,14362,13505,13822,12571,12397,13180,11542,11981,11974,11999,11735,11822,12298,12166,12107,12704,13036,12923,13127,13561,14522,16000,15110,17167,16519,18701,18172,19510,19600,19997,22505,20966,21976,24504,22989,24493,23472,25458,26287,22827,24159,25991,24383,21938,21443,20291,20025,19169,19098,17795,16665,16127,14505,15147,13879,13308,12296,11389,10925,12203,12050,10413
A6,144,138,165,137,172,194,189,196,228,225,245,258,234,300,323,309,308,374,325,404,387,468,408,405,491,478,443,470,437,491,513,435,436,414,454,443,427,446,425,498,539,526,629,656,722,844,993,1120,1319,1608,1946,2363,2982,3506,4254,5616,6546,8312,9763,11896,14078,16526,18709,20850,24143,26444,28101,30520,32772,34172,34511,34878,35882,34861,34802,34373,32588,31171,29510,27989,27126,25810,23513,21914,20974,19583,17430,16548,14680,13871,12827,12493,11194,10760,9906,9282,8751,8009,8130,7181,7196,6645,6599,6510,6337,6377,6111,6120,5902,5893,5638,6544,6073,6678,6352,6828,6283,6563,6780,6822,7567,8858,8598,9194,9273,9167,10376,10290,10346,10947,11465,11030,11289,12986,13063,12995,12861,12374,11183,13866,14241,13703,13738,11643,10533,10255,11771,9857,9732,9941,10066,9775,9110,9484,8425,9350,6833,8824,8527,8497,8204
A7,117,106,111,107,119,123,115,123,131,121,139,146,151,169,166,206,187,194,228,237,274,235,257,247,263,250,202,257,244,243,251,251,214,212,195,214,173,198,189,182,175,150,156,148,176,143,134,169,158,149,155,168,165,173,166,170,188,189,231,251,241,263,244,253,285,265,326,347,336,425,376,365,359,405,328,347,414,378,406,429,429,390,375,385,411,371,466,362,405,367,440,376,462,411,484,490,401,458,497,480,498,518,562,582,534,598,620,518,636,593,599,717,707,654,742,771,847,905,869,903,920,1015,968,1038,1144,1130,1175,1295,1280,1449,1443,1552,1444,1560,1777,1662,1898,1760,1787,2119,2363,2149,2313,2579,2401,2745,2690,2992,2966,3119,3492,3469,3622,3932,4273,4611,4287,4762,5146,5407,4575
A8,2061,2155,2266,2328,2384,2530,2723,2972,3028,3306,3372,3719,3923,4158,4509,4877,5049,5403,5486,5687,5989,6165,6560,6684,6886,7011,7133,7436,7572,7565,7497,7691,7935,7946,7807,8166,8158,8324,8766,9240,9615,10515,11418,13199,14960,17612,20722,24890,29836,36110,44672,54596,68574,85326,105230,131191,156668,193274,235097,278314,331020,385999,444137,498375,556329,611736,659033,706090,744030,772472,782947,805061,804665,799497,783054,758024,739819,705003,671157,630766,602063,570849,535390,502876,471818,440732,404091,376212,348127,321599,299959,279426,262605,244817,229313,216298,201367,191822,182234,174345,167880,161728,157933,153779,151763,149594,148228,145566,148034,148322,148818,149820,152504,156501,160280,162229,163985,175636,176605,184502,196600,203615,213315,222040,232877,240884,249768,256690,272359,272539,283101,293072,300870,301650,309811,315411,316886,315718,309090,308258,298416,300725,288560,276253,263628,242556,226498,217819,197226,184387,169174,156296,138295,130117,128078,114249,106115,95662,87186,77242,73365
A9,1661,1653,1666,1734,1773,1857,2005,2093,2272,2285,2630,2769,2844,3108,3184,3376,3689,3724,3974,4167,4336,4532,4760,4558,4928,5006,5137,5232,5359,5211,5496,5404,5402,5520,5626,5640,5771,6010,6176,6273,6765,7386,8009,8907,10253,11886,14217,16762,20446,24327,30523,37350,47215,58607,72516,91215,108538,133047,162406,192793,229266,269027,306448,345935,385183,422788,457162,488627,514413,536072,542187,556649,556881,552672,542458,524399,507373,485984,462592,434211,413301,396544,369635,344985,323384,305912,275983,257794,241265,222674,204125,192328,180085,168781,159347,148504,137334,131566,125953,119177,115137,112721,106512,105289,102950,103484,102212,102129,100754,103787,101691,104708,103974,107300,109898,111970,115124,118652,123230,129021,133466,139336,144478,154245,160485,165582,172299,175980,187325,190949,198876,199170,206662,213458,205356,209384,220218,217884,210921,208230,209907,199834,192957,187092,183548,168836,160331,154717,134295,130006,116378,108472,97465,91024,85955,78386,70475,68910,66602,55769,52381
