User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: HCQY exp 2 Fluorescence,Date: 24/10/2023,Time: 15:48:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A 1-6 Tetraphenyl porphyrin ,,,,,,A 7-12 C7SHU,,,,,,B 1-6 Tetraphenyl porphyrin ,,,,,,B 7-12 C7SHU,,,,,,C 1-6 Tetraphenyl porphyrin  ,,,,,,C 7-12 C7SHU,,,,,,D 1-6 Tetraphenyl porphyrin ,,,,,,D 7-12 C7SHU,,,,,,E 1-6 C5SHU,,,,,,E 7-12 C8SHU,,,,,,F 1-6 C5SHU,,,,,,F 7-12 C8SHU,,,,,,G 1-6 C5SHU,,,,,,G 7-12 C8SHU,,,,,,H 1-6 C5SHU,,,,,,H 7-12 C8SHU,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),580,180,934,904,479,313,171,1272,1311,935,609,2565,283,127,847,608,407,292,232,157,1127,982,602,352,230,112,871,621,403,395,208,159,1284,844,524,353,217,150,1868,712,424,344,236,187,1326,905,483,344,265,114,3243,1175,733,494,307,192,926,831,424,302,193,153,1540,1086,638,488,232,172,1269,759,453,248,187,220,1648,1250,636,783,275,224,1031,778,383,302,349,1176,2734,1300,690,422,268,192,982,801,572,373,201
Raw Data (Em Spectrum),581,169,963,963,441,293,177,1182,1378,1004,591,2606,301,125,852,626,401,295,193,148,1289,966,609,348,230,119,836,608,402,337,239,135,1374,871,567,370,218,145,1927,706,452,314,224,174,1384,985,496,348,296,116,3201,1224,775,481,340,192,993,914,447,302,186,190,1640,1093,710,482,245,148,1418,721,505,255,207,192,1708,1235,732,824,257,228,1087,816,426,284,348,1259,2979,1394,733,437,284,192,1138,793,520,414,230
Raw Data (Em Spectrum),582,176,979,984,473,321,151,1107,1454,1049,680,2495,313,144,883,693,391,328,224,128,1257,1049,611,379,197,116,938,634,394,368,238,159,1507,950,602,418,221,145,1903,765,458,348,215,195,1469,1040,580,353,344,113,3265,1286,736,507,308,179,1156,968,525,299,192,165,1675,1182,782,509,241,145,1410,809,490,301,228,202,1762,1416,748,834,296,215,1153,846,451,362,377,1248,3210,1474,765,435,281,191,1179,854,567,403,214
Raw Data (Em Spectrum),583,176,1022,983,530,292,184,1118,1610,1107,687,2533,289,140,915,733,412,290,210,157,1474,1074,712,469,225,113,986,667,488,374,239,137,1584,1108,638,440,239,145,1914,756,457,323,219,182,1499,1082,587,389,307,127,3302,1420,795,505,358,195,1226,1008,542,326,212,150,1851,1271,837,554,244,162,1524,885,513,313,228,216,1851,1433,794,840,289,235,1320,997,500,377,384,1303,3554,1556,809,536,270,191,1189,976,639,440,222
Raw Data (Em Spectrum),584,197,1085,1037,565,284,195,1094,1641,1227,751,2702,298,136,1090,781,453,320,212,142,1552,1168,751,493,251,136,1068,706,495,354,240,147,1683,1112,670,421,298,169,1920,837,446,364,262,159,1691,1241,640,442,334,119,3439,1447,813,553,342,169,1263,1127,645,379,206,178,1992,1350,870,581,248,144,1778,1026,564,311,244,181,2072,1491,884,877,295,231,1372,1069,546,397,375,1374,3881,1652,863,550,306,192,1396,1013,709,465,242
Raw Data (Em Spectrum),585,169,1107,1096,627,324,178,1069,1791,1330,791,2640,321,125,1041,809,545,330,213,142,1666,1358,772,507,234,118,1020,753,445,381,235,164,1849,1260,657,463,281,156,2096,888,486,341,265,223,1797,1327,670,433,303,112,3487,1646,913,534,366,178,1497,1153,624,415,212,190,2058,1497,927,597,300,152,1871,1011,616,319,248,208,2162,1647,843,995,340,268,1434,1197,646,428,376,1333,4125,1682,922,546,313,197,1450,1262,701,482,254
Raw Data (Em Spectrum),586,157,1250,1197,559,339,169,1051,1894,1464,903,2542,332,137,1224,805,542,304,227,110,1820,1400,868,535,256,120,1205,759,481,412,230,161,1993,1368,786,511,256,142,1967,884,497,387,284,185,1983,1408,826,511,348,129,3556,1665,1015,638,360,203,1512,1355,718,462,249,169,2220,1518,994,702,286,168,2020,1165,695,380,256,213,2220,1742,980,975,310,243,1624,1326,662,487,352,1306,4457,1910,1037,562,368,198,1646,1336,865,515,267
