Well,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,,
A1,180,169,176,176,197,169,157,173,187,199,213,194,222,220,215,258,228,273,255,277,276,287,232,269,267,283,297,253,297,256,238,253,243,258,262,209,230,241,207,207,232,202,220,198,210,197,221,175,188,214,203,239,208,247,228,262,272,318,378,325,383,400,413,439,526,504,565,661,705,628,579,741,708,692,651,588,650,625,660,640,589,543,600,476,540,468,420,535,477,517,552,528,554,544,474,602,506,578,576,480,608,455,497,501,548,525,635,643,554,677,564,680,726,832,701,749,624,905,796,677,893,1069,911,801,1051,1162,1310,1190,1097,1335,1243,1468,1225,1377,1249,1410,1687,1760,1787,1877,1724,2149,2173,2211,2169,2665,2438,3080,2873,2826,2773,3153,3512,3470,3663,3842,3886,3502,4558,4480,4102,,140305
A2,934,963,979,1022,1085,1107,1250,1308,1342,1414,1437,1452,1685,1661,1763,1884,1908,1952,2084,2207,2251,2271,2327,2250,2417,2453,2536,2475,2580,2662,2727,2654,2644,2824,2859,2785,2931,3002,3280,3430,3678,4233,4707,5277,6008,7315,8554,10333,12853,15525,18983,23573,29499,37432,45999,57238,68598,84826,103436,123361,145716,171661,198299,223573,248934,277458,295858,317517,334301,346627,355500,360004,360765,361506,351702,339786,327672,312793,298641,278371,259247,248440,233206,214640,200067,187795,169415,158999,146856,133825,122609,115842,103864,97442,89906,85909,78847,75980,70396,68653,64983,62955,60580,58423,58718,57024,56030,56086,54877,55509,57663,55773,59111,60219,60033,59806,62074,65263,65560,70881,73485,75468,78459,82268,84446,85857,92647,95200,98086,100853,107476,109462,112848,113750,112379,117712,116434,118401,112119,111956,109392,110497,104224,99551,95569,84701,82814,79471,77481,66757,62554,56443,54110,44066,51524,38040,40463,38517,34257,33677,29977,,14117804
A3,904,963,984,983,1037,1096,1197,1181,1236,1278,1378,1331,1420,1438,1408,1583,1660,1660,1692,1821,1817,1807,1946,1918,1780,2028,1963,2049,2036,2042,2116,2255,2176,2157,2132,2224,2251,2388,2461,2588,2840,3045,3372,3839,4352,5398,6368,7445,8956,11225,13452,16936,20840,26600,32447,40110,48333,59728,73021,86926,102568,120899,140103,157647,174947,196128,210401,222973,236188,244366,248974,253481,256754,252401,249040,240233,232417,223315,209540,194952,185176,175576,163976,152350,141157,132237,119156,112215,102938,95531,87352,82177,75621,69410,64997,59441,55440,53567,50600,49554,46021,43992,42861,41128,40537,38829,39557,40315,39438,40218,39623,40534,40604,41176,41967,42404,45720,46431,48814,49311,49630,54873,57991,57238,59687,64522,65884,67655,71581,71863,76167,76539,75874,81768,83852,81950,79590,82050,80529,78957,81038,73015,71632,68676,67998,65807,59777,54037,58853,48143,45195,43305,36549,35161,33332,33942,25457,26752,27788,26571,20668,,10010791
A4,479,441,473,530,565,627,559,648,656,701,743,790,751,797,853,896,893,947,1040,1042,1122,1126,1184,1165,1110,1227,1240,1170,1280,1193,1331,1265,1170,1277,1404,1351,1321,1463,1428,1510,1653,1767,1980,2301,2601,3029,3549,4241,5143,6367,7972,9434,11706,14709,18470,22868,26960,32796,40859,50247,57657,67951,77782,88681,98613,110071,119118,125833,131737,136738,141260,141853,145521,141933,138607,133893,129898,124538,117285,109718,103381,98800,91618,84638,78385,73776,67002,62837,57894,52641,47585,45156,42216,39126,36276,35199,32043,30390,28727,27028,25758,25243,24371,23575,22411,23536,22690,22425,21374,22251,22586,22721,22957,23362,24232,23674,26180,25790,26253,28041,30056,30302,32255,34016,34619,35343,37778,38360,38752,40089,41371,41813,44413,44004,43703,45030,45013,45645,46173,46441,44830,42385,41283,43181,37174,33590,34219,32915,31975,28847,26398,25436,24147,23132,20634,19468,17150,15827,15291,15139,14515,,5643967
A5,313,293,321,292,284,324,339,328,363,404,416,432,444,445,519,483,487,594,555,587,647,595,675,668,681,665,711,723,792,795,727,739,790,768,779,810,745,824,906,855,923,936,1120,1208,1373,1631,1881,2178,2781,3114,4006,4746,5987,7451,9038,11246,13628,16509,19817,23754,28750,32991,38207,43310,48325,52747,57311,61739,64091,66722,69086,69640,69119,68642,67729,65023,62736,60502,57186,52715,51281,47769,44259,41986,38605,35336,33188,30086,28219,26575,23784,22470,20392,19076,17304,17033,15985,14600,13980,14011,13383,12103,12022,11801,11971,11192,11028,10875,11347,11041,11064,10772,10886,11235,12002,12180,13012,12362,13223,14246,15054,14671,15430,17082,17217,17946,17394,19355,19668,21590,20926,21305,23804,22667,23004,22616,22928,21832,22712,22827,21521,22099,22289,19085,21762,19782,17404,16193,16034,15398,16743,13979,10976,13648,12332,11143,9781,11345,10439,8342,7573,,2804596
A6,171,177,151,184,195,178,169,178,187,210,205,255,239,235,270,338,274,305,299,297,337,373,382,388,379,409,338,347,359,340,362,366,389,407,366,367,383,351,470,395,423,426,494,516,571,636,807,909,1058,1171,1388,1746,2096,2670,3198,3912,4902,5738,7052,8414,9795,11706,13373,15491,16720,19017,20191,21412,22538,23690,23990,24090,24412,24137,23531,22731,21819,20875,20057,18351,17149,16466,15600,14306,13308,12100,12061,10810,9881,8875,8362,7678,7139,7227,6578,6290,5894,4943,5296,4900,4777,4485,4365,4236,4173,4567,4205,4127,4125,4623,4281,4485,4488,4240,4331,4602,4634,4383,5140,5468,5596,5512,5808,6228,6955,6552,7287,7805,7312,8010,8098,8010,7876,9911,9605,9016,9962,9239,9396,9264,9515,9068,8201,8990,8519,7348,8239,7041,8063,7796,7909,7252,7354,6130,6349,6916,6163,7143,5734,6643,6311,,1056802
A7,1272,1182,1107,1118,1094,1069,1051,1093,1049,981,947,889,888,938,908,916,882,818,882,818,821,781,841,848,772,801,779,750,790,810,755,759,785,759,725,652,700,717,684,658,668,631,604,519,543,567,544,529,585,576,520,524,496,501,554,439,518,518,495,472,502,465,467,498,427,539,493,500,440,440,470,477,417,410,465,392,524,437,466,472,487,470,429,371,440,445,390,503,421,459,474,447,573,516,454,511,453,589,463,526,523,493,536,568,590,540,575,612,620,711,599,643,668,733,722,749,847,765,941,853,893,1069,826,890,958,968,1142,1085,1206,1182,1203,1300,1356,1422,1489,1662,1581,1760,1902,1877,1788,2015,2173,2211,2246,2503,2438,2728,2873,2826,3081,3153,3183,3585,3663,3714,3886,4202,3970,4789,4418,,169118
A8,1311,1378,1454,1610,1641,1791,1894,2178,2423,2638,2804,2981,3200,3548,3677,3927,4201,4498,4624,4801,5237,5196,5427,5701,5894,6065,6305,6454,6591,6602,6886,6961,7098,7204,7253,7370,7506,8134,8545,8742,9654,10544,11751,13611,15648,18912,22856,27107,32887,40407,50733,62637,77735,98035,121398,149169,181390,223168,272508,324360,384837,444345,509475,576683,637934,701355,748077,802369,839577,865855,880793,896760,894364,878555,864072,834236,799004,763782,722160,679411,640511,609584,575191,531993,500661,466417,427189,396039,364628,339992,315174,293995,273078,256761,241441,228797,211606,204960,194971,186637,179573,174400,170085,167096,162202,160917,156775,158199,157734,161175,164305,162265,167668,168826,175664,177213,184461,192497,196753,205144,218407,226568,236517,249117,255225,268933,281165,288365,301277,307746,315973,319955,333906,338083,344726,344171,341817,343489,347942,328118,334561,315906,298583,289443,278730,253698,238773,227851,214464,190819,182014,160710,148283,136131,123561,122574,104641,100844,89832,83112,78887,,37347398
A9,935,1004,1049,1107,1227,1330,1464,1564,1694,1939,1950,2172,2439,2436,2550,2800,3154,3179,3387,3561,3556,3772,4082,3890,4279,4343,4338,4409,4807,4691,4787,5104,4954,5063,5142,5247,5493,5524,5940,6207,6719,7407,8033,9479,11070,13029,16008,19320,23012,28469,34945,43784,56018,69277,86293,105729,128198,157838,192534,229220,270561,313587,360834,407460,451207,496836,532633,567823,594452,612755,621586,629806,632185,621857,606194,583570,562558,535641,507775,474299,452114,427476,401053,372378,350295,326891,296904,278816,261707,241408,221288,208292,193809,179398,168365,158226,148933,143602,136974,131656,125955,122588,120259,114627,114331,113421,111758,111811,113096,111712,109601,113459,116713,118178,125324,127382,131589,133959,139541,142941,154012,160150,167168,173552,180268,188982,196107,199885,210685,214827,221165,225256,229940,234061,240223,240059,245307,241641,236054,238504,222998,226703,207606,201682,191216,176991,164535,156125,151256,139849,122541,108156,103282,98311,94258,75824,78380,69050,68955,60866,54116,,26254946
